build,set,gameId,side,verdict,source,reason,n,nodes,fen
engine_4x.js,chasolver-blocked-until-08-2026,GyWj6Ymz,b,WT,H,horizon,8,19,8/4k1p1/4p1Pp/1p1pPp2/pP1P1P1P/P7/8/4K3 b - - 8 63
engine_4x.js,chasolver-blocked-until-08-2026,3KkCirHD,w,BT,H,horizon,0,20,8/1p6/4k3/1P1p2p1/1p1P2P1/1P1K4/8/8 w - - 0 46
engine_4x.js,chasolver-blocked-until-08-2026,chikSuUd,b,WT,H,horizon,11,15,4K3/8/6p1/5pP1/5P1k/5P1p/7P/8 b - - 11 59
engine_4x.js,chasolver-blocked-until-08-2026,azjorRHB,b,WT,H,horizon,0,19,8/4k1p1/4p1Pp/1p1pPp2/pP1P1P1P/P4K2/8/8 b - - 0 48
engine_4x.js,chasolver-blocked-until-08-2026,lBSDAx07,w,BT,H,horizon,0,26,8/4k3/1p4p1/pP1p1pP1/2pP1P2/P1P1KP2/8/8 w - - 0 49
engine_4x.js,chasolver-blocked-until-08-2026,RwnQJq1k,w,BT,H,horizon,11,18,8/7p/5p1P/5p1K/5Pp1/6P1/b3k3/8 w - - 11 51
engine_4x.js,chasolver-blocked-until-08-2026,hPiwD75i,w,BT,H,horizon,7,20,1n6/2Bp4/p1pPp1k1/PpP1Pp1p/1P3P1P/2K5/8/8 w - - 7 53
engine_4x.js,chasolver-blocked-until-08-2026,vcaVIyhj,w,BT,H,horizon,4,27,8/1p1k4/4p3/1P1pP1p1/1p1P2Pp/1P1K3P/8/8 w - - 4 47
engine_4x.js,chasolver-blocked-until-08-2026,f6c1lu7R,w,BT,H,horizon,70,22,8/8/7p/5p1P/5p1K/5Pp1/6P1/1k6 w - - 70 83
engine_4x.js,chasolver-blocked-until-08-2026,pw3hB0Tp,b,WT,H,horizon,0,18,8/1p2k3/8/1P1p2p1/1p1P2P1/1P3K2/8/8 b - - 0 44
engine_4x.js,chasolver-blocked-until-08-2026,q2K0VFaV,w,BT,H,horizon,0,30,8/6k1/6p1/p1p1p1P1/P1P1P1p1/6K1/6P1/8 w - a6 0 38
engine_4x.js,chasolver-blocked-until-08-2026,FKr42ZRT,b,WT,H,horizon,13,16,8/8/7p/5p1P/5p1K/5Pp1/6P1/5kb1 b - - 13 63
engine_4x.js,chasolver-blocked-until-08-2026,o2conOyc,w,BT,H,horizon,1,23,8/2p2kp1/1pPp4/pP1Pp1P1/P3P1p1/6P1/8/5K2 w - - 1 44
