build,set,gameId,label,side,verdict,source,reason,n,nodes,fen
engine_4x.js,chasolver-positions,chasolver-positions:6,--,b,WT,H,horizon,0,139,8/1k5B/7b/8/1p1p1p1p/1PpP1P1P/2P3K1/N3b3 b - -
engine_4x.js,chasolver-positions,chasolver-positions:8,--,b,WT,H,horizon,0,191,4K3/8/8/8/8/p1p2p1p/P1pppp1P/bnrqkrnb b - -
engine_4x.js,chasolver-positions,chasolver-positions:14,--,b,WT,H,horizon,0,166,7k/8/1p6/1Pp5/2Pp4/pB1Pp1p1/P1B1P1P1/1B1B2K1 b - -
engine_4x.js,chasolver-positions,chasolver-positions:16,--,b,WT,H,horizon,0,379,2k5/6p1/6P1/6PK/6P1/6PR/7P/8 b - -
engine_4x.js,chasolver-positions,chasolver-positions:18,--,b,WT,H,horizon,0,179,8/8/8/1k3p1p/3p1P2/1p1P1PpP/1P4P1/K7 b - -
engine_4x.js,chasolver-positions,chasolver-positions:61,--,w,BT,H,horizon,0,207,k3b1b1/Pp1b1b1p/1Pb1p1pP/1p1pP1P1/1P1P4/8/8/4K3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:83,--,w,BT,H,horizon,0,240,1k6/p1p1p1p1/P1P1P1P1/p1p1p1p1/8/8/P1P1P1P1/4K3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:93,--,w,BT,H,horizon,0,228,3k4/1p1p1p1p/1P1P1P1P/3p4/8/8/3P3P/4K3 w - -
engine_4x.js,chasolver-positions,chasolver-positions:97,--,w,BT,H,horizon,0,187,8/7p/k4p1P/5p1K/5Pp1/6P1/6P1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:99,--,w,BT,H,horizon,0,174,8/7p/5p2/1p3PpP/1Pp2pP1/BpP2PpB/1P4P1/2K2k2 w - -
engine_4x.js,chasolver-positions,chasolver-positions:107,--,w,BT,H,horizon,0,246,2k5/2p1p1p1/p1P1P1P1/P1p4K/8/8/2P5/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:108,--,w,BT,H,horizon,0,249,2k5/2p1p1p1/p1P1P1P1/P1p4K/8/2P5/8/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:115,--,w,BT,H,horizon,0,250,2k5/p1p1p1p1/P1P1P1P1/2p1P2K/4P3/8/2P5/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:116,--,w,BT,H,horizon,0,249,2k5/p1p1p1p1/P1P1P1P1/2p1P2K/8/8/2P1P3/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:117,--,w,BT,H,horizon,0,220,2k5/p1p1p1p1/P1P1P1P1/2p1p2K/8/8/2P1P3/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:118,--,w,BT,H,horizon,0,215,2k5/p1p1p1p1/P1P1P1P1/2p1p2K/8/8/2P1P1P1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:119,--,w,BT,H,horizon,0,376,1k6/6p1/6P1/6PK/6P1/6PR/7P/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:126,--,w,BT,H,horizon,0,141,1k6/b7/7p/5p1P/5p2/5PpK/6P1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:128,--,w,BT,H,horizon,0,138,1k6/b1b5/7p/5p1P/5p2/5PpK/6P1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:129,--,w,BT,H,horizon,0,134,8/b7/k6p/5p1P/5p2/5PpK/6P1/8 w - -
engine_4x.js,chasolver-positions,chasolver-positions:179,--,b,WT,H,horizon,0,158,k2b4/2p1p3/BpP1P3/1Pp5/2Pp4/K1pPp3/2PpP3/3B4 b - -
