build,set,gameId,side,verdict,source,reason,n,nodes,fen
engine_4x.js,chasolver-draws-we-missed,GyWj6Ymz,b,WT,H,horizon,8,200,8/4k1p1/4p1Pp/1p1pPp2/pP1P1P1P/P7/8/4K3 b - - 8 63
engine_4x.js,chasolver-draws-we-missed,3KkCirHD,w,BT,H,horizon,0,186,8/1p6/4k3/1P1p2p1/1p1P2P1/1P1K4/8/8 w - - 0 46
engine_4x.js,chasolver-draws-we-missed,chikSuUd,b,WT,H,horizon,11,215,4K3/8/6p1/5pP1/5P1k/5P1p/7P/8 b - - 11 59
engine_4x.js,chasolver-draws-we-missed,azjorRHB,b,WT,H,horizon,0,211,8/4k1p1/4p1Pp/1p1pPp2/pP1P1P1P/P4K2/8/8 b - - 0 48
engine_4x.js,chasolver-draws-we-missed,lBSDAx07,w,BT,H,horizon,0,219,8/4k3/1p4p1/pP1p1pP1/2pP1P2/P1P1KP2/8/8 w - - 0 49
engine_4x.js,chasolver-draws-we-missed,RwnQJq1k,w,BT,H,horizon,11,137,8/7p/5p1P/5p1K/5Pp1/6P1/b3k3/8 w - - 11 51
engine_4x.js,chasolver-draws-we-missed,vcaVIyhj,w,BT,H,horizon,4,211,8/1p1k4/4p3/1P1pP1p1/1p1P2Pp/1P1K3P/8/8 w - - 4 47
engine_4x.js,chasolver-draws-we-missed,pw3hB0Tp,b,WT,H,horizon,0,182,8/1p2k3/8/1P1p2p1/1p1P2P1/1P3K2/8/8 b - - 0 44
engine_4x.js,chasolver-draws-we-missed,q2K0VFaV,w,BT,H,horizon,0,233,8/6k1/6p1/p1p1p1P1/P1P1P1p1/6K1/6P1/8 w - a6 0 38
engine_4x.js,chasolver-draws-we-missed,FKr42ZRT,b,WT,H,horizon,13,130,8/8/7p/5p1P/5p1K/5Pp1/6P1/5kb1 b - - 13 63
engine_4x.js,chasolver-draws-we-missed,o2conOyc,w,BT,H,horizon,1,238,8/2p2kp1/1pPp4/pP1Pp1P1/P3P1p1/6P1/8/5K2 w - - 1 44
